pwd
ls
exit
pwd
ifconfig
exit
ls
pwd
exit
ppwd
exit



操作时间2016-11-30 11:29:28.374917  堡垒机账号代码1 主机账号代码4 主机代码2 执行代码pwd
操作时间2016-11-30 11:29:31.326161  堡垒机账号代码1 主机账号代码4 主机代码2 执行代码whoami
操作时间2016-12-01 08:54:20.411291  堡垒机账号代码1 主机账号代码1 主机代码1 执行代码pwd
操作时间2016-12-01 08:54:22.562469  堡垒机账号代码1 主机账号代码1 主机代码1 执行代码whoami
操作时间2016-12-01 08:54:24.875662  堡垒机账号代码1 主机账号代码1 主机代码1 执行代码exit
操作时间2016-12-01 08:54:31.276190  堡垒机账号代码1 主机账号代码1 主机代码1 执行代码p
操作时间2016-12-01 08:54:33.601385  堡垒机账号代码1 主机账号代码1 主机代码1 执行代码ls
操作时间2016-12-01 08:54:34.718476  堡垒机账号代码1 主机账号代码1 主机代码1 执行代码
操作时间2016-12-01 08:54:35.538543  堡垒机账号代码1 主机账号代码1 主机代码1 执行代码
操作时间2016-12-01 08:54:36.267604  堡垒机账号代码1 主机账号代码1 主机代码1 执行代码
操作时间2016-12-01 08:54:36.945660  堡垒机账号代码1 主机账号代码1 主机代码1 执行代码
操作时间2016-12-01 08:54:37.927743  堡垒机账号代码1 主机账号代码1 主机代码1 执行代码
操作时间2016-12-01 08:54:38.104756  堡垒机账号代码1 主机账号代码1 主机代码1 执行代码
操作时间2016-12-01 08:54:38.268771  堡垒机账号代码1 主机账号代码1 主机代码1 执行代码
操作时间2016-12-01 08:54:53.810059  堡垒机账号代码1 主机账号代码1 主机代码1 执行代码whoami
操作时间2016-12-01 08:54:55.233177  堡垒机账号代码1 主机账号代码1 主机代码1 执行代码
操作时间2016-12-01 08:55:34.053395  堡垒机账号代码1 主机账号代码1 主机代码1 执行代码df -h
操作时间2016-12-01 08:56:10.039377  堡垒机账号代码1 主机账号代码1 主机代码1 执行代码
操作时间2016-12-01 08:56:10.986462  堡垒机账号代码1 主机账号代码1 主机代码1 执行代码
操作时间2016-12-01 08:56:47.583491  堡垒机账号代码1 主机账号代码1 主机代码1 执行代码
操作时间2016-12-01 08:56:47.743504  堡垒机账号代码1 主机账号代码1 主机代码1 执行代码
操作时间2016-12-01 08:56:50.026694  堡垒机账号代码1 主机账号代码1 主机代码1 执行代码pwd
操作时间2016-12-01 08:57:25.299616  堡垒机账号代码2 主机账号代码1 主机代码1 执行代码pwd
操作时间2016-12-01 08:57:28.342868  堡垒机账号代码2 主机账号代码1 主机代码1 执行代码
操作时间2016-12-01 08:57:47.594464  堡垒机账号代码2 主机账号代码1 主机代码1 执行代码exit
操作时间2016-12-01 08:57:55.278101  堡垒机账号代码2 主机账号代码1 主机代码1 执行代码
操作时间2016-12-01 08:59:36.672507  堡垒机账号代码1 主机账号代码1 主机代码1 执行代码whoami
操作时间2016-12-01 09:07:15.947581  堡垒机账号代码1 主机账号代码1 主机代码1 执行代码ls
操作时间2016-12-01 09:07:18.235769  堡垒机账号代码1 主机账号代码1 主机代码1 执行代码pwd
操作时间2016-12-01 09:08:51.148473  堡垒机账号代码1 主机账号代码1 主机代码1 执行代码ls
操作时间2016-12-01 09:08:55.688853  堡垒机账号代码1 主机账号代码1 主机代码1 执行代码df -hT
操作时间2016-12-01 09:08:58.032042  堡垒机账号代码1 主机账号代码1 主机代码1 执行代码exit
操作时间2016-12-01 09:11:01.764298  堡垒机账号代码1 主机账号代码1 主机代码1 执行代码
